series,transform_code,sw_factor,raw_mean,raw_std,trans_mean,trans_std,raw_missing,trans_missing,status
IPNCONGD,5,1,84.79317,20.917694,0.003532,0.009568,0,1,OK
IPBUSEQ,5,1,53.522537,33.525635,0.009202,0.0286,0,1,OK
IPB51220SQ,5,1,70.716401,23.620775,0.005478,0.023086,0,1,OK
TCU,1,1,79.866862,4.199732,79.866862,4.199732,32,32,OK
CUMFNS,1,1,79.286751,4.901485,79.286751,4.901485,0,0,OK
PAYEMS,5,0,107837.667913,31578.740628,0.004162,0.009977,0,1,OK
USPRIV,5,0,90103.048686,27189.512786,0.004189,0.011197,0,1,OK
MANEMP,5,0,15771.156055,2382.483966,-0.000651,0.012215,0,1,OK
SRVPRD,5,0,86023.697877,31748.086646,0.005285,0.009788,0,1,OK
USGOOD,5,0,21813.970038,1877.241063,0.000503,0.012429,0,1,OK
DMANEMP,5,1,9668.541822,1428.632289,-0.000437,0.01517,0,1,OK
NDMANEMP,5,0,6102.614231,988.553559,-0.000975,0.008628,0,1,OK
USCONS,5,1,5300.843945,1559.309814,0.003829,0.016489,0,1,OK
USEHS,5,1,12703.649187,7407.86788,0.008612,0.007726,0,1,OK
USFIRE,5,1,6196.348316,2135.042117,0.005031,0.005469,0,1,OK
USINFO,5,1,2560.931337,489.330012,0.002034,0.013559,0,1,OK
USPBS,5,1,12191.555556,6187.940373,0.006942,0.009459,0,1,OK
USLAH,5,1,9640.975028,4224.361494,0.006153,0.034301,0,1,OK
USSERV,5,1,3868.761548,1658.788314,0.006443,0.015538,0,1,OK
USMINE,5,1,741.970036,138.133267,-0.000992,0.027434,0,1,OK
USTPU,5,1,21126.857676,5654.172684,0.003715,0.008783,0,1,OK
USGOVT,5,0,17734.619226,4492.822351,0.004008,0.006169,0,1,OK
USTRADE,5,1,11976.115606,3501.441772,0.003994,0.010491,0,1,OK
USWTRADE,5,1,4799.845568,1101.737208,0.003279,0.00735,0,1,OK
CES9091000001,5,1,2835.264674,182.533003,0.000839,0.015668,0,1,OK
CES9092000001,5,1,4008.024967,1182.526579,0.004947,0.006702,0,1,OK
CES9093000001,5,1,10891.329586,3240.724974,0.004731,0.00712,0,1,OK
CE16OV,5,0,116009.308366,30248.468335,0.003527,0.010506,0,1,OK
CIVPART,2,0,63.429214,2.678622,0.011654,0.22523,0,1,OK
UNRATE,2,0,5.862169,1.679277,-0.005764,0.711147,0,1,OK
UNRATESTx,2,0,4.759837,1.262354,-0.005541,0.708277,0,1,OK
UNRATELTx,2,0,1.102584,0.81943,-0.0,0.166536,0,1,OK
LNS14000012,2,1,16.723598,3.459386,0.002256,1.441313,0,1,OK
LNS14000025,2,1,5.044694,1.780878,-0.004135,0.653558,0,1,OK
LNS14000026,2,1,5.341323,1.454218,-0.006391,0.756832,0,1,OK
UEMPLT5,5,1,2602.128587,643.154873,0.00159,0.098096,0,1,OK
UEMP5TO14,5,1,2112.716605,862.708603,0.002379,0.148536,0,1,OK
UEMP15T26,5,1,1037.837703,581.210399,0.002788,0.157627,0,1,OK
UEMP27OV,5,1,1464.978776,1318.755734,0.003468,0.131221,0,1,OK
LNS13023621,5,1,3965.136168,2003.224237,0.004565,0.144872,32,33,OK
LNS13023557,5,1,2133.400002,549.020212,0.003322,0.049159,32,33,OK
LNS13023705,5,1,825.024112,137.728456,0.002925,0.061026,32,33,OK
LNS13023569,5,1,761.812766,248.557631,0.003565,0.06557,32,33,OK
LNS12032194,5,1,4565.011233,1765.884202,0.002056,0.074497,0,1,OK
HOABS,5,0,78.720868,17.174158,0.002807,0.012955,1,2,OK
HOAMS,5,0,115.609877,18.026307,-0.002032,0.016157,113,114,OK
HOANBS,5,0,77.795955,18.186316,0.003121,0.013058,1,2,OK
AWHMAN,1,1,40.779651,0.706282,40.779651,0.706282,0,0,OK
AWHNONAG,2,1,34.85857,1.431884,-0.019241,0.101016,20,21,OK
AWOTMAN,2,1,3.738203,0.701335,0.004261,0.174921,0,1,OK
HWIx,1,0,4231.543071,1878.426854,4231.543071,1878.426854,0,0,OK
HOUST,5,0,1431.63171,371.847877,-0.0007,0.084863,0,1,OK
HOUST5F,5,0,366.951313,157.327104,0.000803,0.14444,0,1,OK
PERMIT,5,1,1373.789607,372.607986,0.000966,0.086474,4,5,OK
HOUSTMW,5,1,273.442572,94.96811,-0.002422,0.14748,0,1,OK
HOUSTNE,5,1,169.547441,64.035493,-0.00453,0.15715,0,1,OK
HOUSTS,5,1,643.968166,175.954847,0.001512,0.0899,0,1,OK
HOUSTW,5,1,344.681024,105.300918,-0.00095,0.11564,0,1,OK
CMRMTSPLx,5,0,833095.291238,391300.486642,0.006493,0.015787,0,1,OK
RSAFSx,5,1,224167.66341,192968.024244,0.01396,0.017925,0,1,OK
